,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023,y_2024,area,INDEX
03229610,2180.7630922693265,2315.362886597938,2412.725747960109,3008.9222776874853,1565.4621603549936,1927.9575857565135,5114.472652899651,1971.2899035963749,3094.488523627825,2523.8908551204477,3007.294784711029,2185.7293896606698,2928.0720741333944,4187.985589218965,3745.5683617757195,3130.0680974941492,2464.4665620094192,2997.9283324277176,2124.5068078668683,2386.842354352753,5879.026,0
03229500,784.8347816521834,505.5789114097017,581.9764373897707,722.2183420513986,428.2623075315265,442.95491638246295,1084.0021456804066,387.6253180588337,655.1043905220477,713.6693181068057,734.0085274404406,481.4216278793636,589.2296068653601,959.9341996942255,806.5949362018653,738.48639665923,586.7005724909258,757.52566518847,479.9269798580911,498.48624328024306,1424.002,1
03228805,155.45945945945945,107.12853817504656,107.21451079744239,157.2893406843242,83.35844513429612,33.80892742305926,235.83842639593908,33.849047388195366,144.30776819865218,115.57528481334553,143.557895309547,97.7608335801884,154.80868135897018,173.01302653172866,152.17638259708838,165.4837530929657,138.12520572759425,170.07786813186814,114.27738696049326,119.66598510766754,325.5012,2
03228750,90.00767489448779,63.78272182972099,63.28202681593336,91.1799312809236,51.058533855623956,49.34962344322344,128.61971306837094,45.991519280951,91.53710305318664,77.57911006487915,148.69916757176105,60.53113551285251,98.9048359155244,106.59237482676522,140.25814485619216,93.04486018565977,84.02740210069643,84.71850730361733,66.3239747497987,72.787176401829,169.9686,3
03228500,302.5445827149218,170.68528034715084,247.85055371617764,291.6275759990892,145.53927046057947,192.24281296529608,355.98510599963964,205.14314584993738,250.17912413753777,268.7026080988332,256.60202158643136,234.78708021011627,209.63704038004752,370.0809969119618,320.9923020883924,263.3771164247082,229.24213366068116,328.72933177156244,188.94240979675726,252.79256272700007,490.9968,4
03228300,81.55868908469701,98.09228537884428,127.03362415682301,137.1731857286628,88.17754807520143,77.55557460112117,177.92787933703326,85.1682738863529,161.05433630393998,136.5085828112231,181.24984490990835,93.70944602838836,133.36233005170752,194.53785461317702,159.67433671673317,160.48333171289678,144.4466539935519,150.70167313731088,117.81733870264299,117.91719022206921,262.8486,5
03227500,2497.5281075842017,2144.3108442570356,2060.0591144517434,2320.5401804796957,1084.773280206258,1428.4865780911064,4010.1486897444192,1515.6584641223142,2439.5257616435156,1699.990866537276,2108.4565229803025,1511.6598348989467,2178.177097842219,2653.0890996915555,2620.0662857142856,1889.2967691149292,1699.968217798033,1967.9183111519046,1488.6976576576576,1603.6778214785681,4205.12,6
03220000,315.63179487179485,186.59059913935783,258.1486917876815,254.76133578586834,80.01414001972108,177.67525423728813,486.03116196254285,149.20969900439914,267.2049602609727,214.88615805070793,259.7122064362651,168.78633414969238,258.8776554391462,358.39549284627094,290.90549051583554,229.3181347622848,191.5434254439923,233.35653662836248,152.38164317772504,180.3835112070738,463.9194,7
03221000,1535.938919796013,1106.410997866793,1268.5337253111086,1387.4086665851871,514.8299735714936,654.784483559893,2241.141127467762,845.1377648869421,1358.6665201507021,931.3689250225835,1223.9225322378181,804.4534556925724,1226.6525913242008,1520.7928175594916,1510.14139582288,1236.1082716364565,780.0203785110923,942.8350758963622,835.3676943745713,1013.28543639399,2549.06,8
03219500,843.9023029439696,675.0781755196305,799.0591614518148,855.1376087733938,350.9099324592769,445.95804416403786,1516.7053437560069,512.7361812260091,844.1113538407038,517.3492766726944,815.0681669394435,440.0239101796407,703.5212673359252,844.1161517017075,855.0208936540764,621.6724133908783,510.6163941401739,637.4553890078515,420.13839520274126,544.0860532653351,1469.508,9
03226800,743.1151957986071,564.6332662959896,701.7116327960757,738.0170120594778,409.0612708947886,521.3390064573877,1163.6813556231004,483.09458385517485,884.8904157111778,613.6837942004161,669.3829538442163,499.6384366382928,686.1088617074388,824.7260861807476,850.759719922136,702.3717864055562,570.314539372105,614.2176062483637,507.9257313449892,623.5019978969506,1278.311,10
03225500,528.458098748883,576.5167732686369,507.11791965888693,521.7070378586218,282.4339796092726,285.86974442167576,776.6728083989501,365.65022542625013,655.4802671537847,396.3852545099391,469.16928363822876,343.341559904426,532.3687941051438,592.537769722571,655.273355788993,525.0051292269156,431.7749747366618,467.2537484636273,385.487569928074,420.40778940353215,1019.562,11
03223425,60.845625381768535,49.67236713080996,49.86954059456201,51.99169959967975,24.81459775086505,31.976648318042812,77.22445362583073,45.45338590926287,79.39438394534585,34.21930001759634,47.02498050581375,38.79053220683914,51.29540645994074,57.39249747277821,61.70204166018964,51.769391262080404,41.068549552596785,49.25445015176278,41.15890926335757,36.505763184148066,98.2692,12
